date_tdb,jd_tdb,lambda_sidereal_deg,beta_deg,distance_au,ayanamsa_deg,x_au,y_au,z_au,vx_km_s,vy_km_s,vz_km_s,radial_velocity_km_s
2016-Feb-02 00:00:00.0000 TDB,2457420.50000,268.022853,2.378758,121.092402,24.964831,47.249857,-111.380251,5.025968,-0.720156,73.345367,-2.372443,-67.842213
2016-Feb-03 00:00:00.0000 TDB,2457421.50000,268.030443,2.378882,121.053077,24.964872,47.249339,-111.337778,5.024598,-1.077504,73.734470,-2.372678,-68.335852
2016-Feb-04 00:00:00.0000 TDB,2457422.50000,268.037980,2.379012,121.013468,24.964922,47.248611,-111.295082,5.023228,-1.442031,74.117346,-2.372935,-68.826636
2016-Feb-05 00:00:00.0000 TDB,2457423.50000,268.045464,2.379147,120.973576,24.964977,47.247672,-111.252167,5.021857,-1.813691,74.493783,-2.373203,-69.314355
2016-Feb-06 00:00:00.0000 TDB,2457424.50000,268.052896,2.379288,120.933404,24.965035,47.246515,-111.209036,5.020486,-2.192429,74.863544,-2.373470,-69.798772
2016-Feb-07 00:00:00.0000 TDB,2457425.50000,268.060280,2.379434,120.892953,24.965089,47.245138,-111.165694,5.019116,-2.578156,75.226363,-2.373723,-70.279615
2016-Feb-08 00:00:00.0000 TDB,2457426.50000,268.067617,2.379586,120.852225,24.965135,47.243536,-111.122144,5.017745,-2.970743,75.581952,-2.373944,-70.756569
2016-Feb-09 00:00:00.0000 TDB,2457427.50000,268.074909,2.379743,120.811223,24.965169,47.241705,-111.078391,5.016373,-3.369998,75.930017,-2.374116,-71.229293
2016-Feb-10 00:00:00.0000 TDB,2457428.50000,268.082155,2.379906,120.769949,24.965190,47.239642,-111.034439,5.015002,-3.775663,76.270283,-2.374227,-71.697436
2016-Feb-11 00:00:00.0000 TDB,2457429.50000,268.089348,2.380074,120.728406,24.965200,47.237342,-110.990293,5.013631,-4.187419,76.602520,-2.374267,-72.160667
2016-Feb-12 00:00:00.0000 TDB,2457430.50000,268.096481,2.380247,120.686597,24.965207,47.234804,-110.945957,5.012260,-4.604911,76.926567,-2.374231,-72.618701
